Week,Total A&E Attendances,Date
1,"391,495.00",07/11/2010
2,"385,685.00",14/11/2010
3,"388,743.00",21/11/2010
4,"381,273.00",28/11/2010
5,"363,410.00",05/12/2010
6,"411,130.00",12/12/2010
7,"402,809.00",19/12/2010
8,"361,870.00",26/12/2010
9,"423,295.00",02/01/2011
10,"400,282.00",09/01/2011
11,"386,293.00",16/01/2011
12,"380,241.00",23/01/2011
13,"382,155.00",30/01/2011
14,"405,190.00",06/02/2011
15,"414,931.00",13/02/2011
16,"398,042.00",20/02/2011
17,"382,208.00",27/02/2011
18,"398,141.00",06/03/2011
19,"416,788.00",13/03/2011
20,"425,003.00",20/03/2011
21,"430,512.00",27/03/2011
22,"437,280.00",03/04/2011
23,"433,066.00",10/04/2011
24,"414,417.00",17/04/2011
25,"430,923.00",24/04/2011
26,"441,657.00",01/05/2011
27,"431,361.00",08/05/2011
28,"420,448.00",15/05/2011
29,"420,850.00",22/05/2011
30,"418,370.00",29/05/2011
31,"418,503.00",05/06/2011
32,"410,394.00",12/06/2011
33,"413,409.00",19/06/2011
34,"415,143.00",26/06/2011
35,"433,196.00",03/07/2011
36,"429,461.00",10/07/2011
37,"423,223.00",17/07/2011
38,"411,310.00",24/07/2011
39,"415,310.00",31/07/2011
40,"413,321.00",07/08/2011
41,"392,425.00",14/08/2011
42,"391,908.00",21/08/2011
43,"388,154.00",28/08/2011
44,"402,034.00",04/09/2011
45,"399,391.00",11/09/2011
46,"415,195.00",18/09/2011
47,"421,368.00",25/09/2011
48,"441,732.00",02/10/2011
49,"435,304.00",09/10/2011
50,"424,876.00",16/10/2011
51,"406,739.00",23/10/2011
52,"397,553.00",30/10/2011
53,"407,619.00",06/11/2011
54,"404,644.00",13/11/2011
55,"406,047.00",20/11/2011
56,"410,069.00",27/11/2011
57,"399,684.00",04/12/2011
58,"398,930.00",11/12/2011
59,"395,212.00",18/12/2011
60,"365,203.00",25/12/2011
61,"401,695.00",01/01/2012
62,"395,703.00",08/01/2012
63,"382,031.00",15/01/2012
64,"388,000.00",22/01/2012
65,"404,509.00",29/01/2012
66,"384,615.00",05/02/2012
67,"400,664.00",12/02/2012
68,"412,534.00",19/02/2012
69,"431,996.00",26/02/2012
70,"430,063.00",04/03/2012
71,"429,589.00",11/03/2012
72,"431,047.00",18/03/2012
73,"444,324.00",25/03/2012
74,"446,183.00",01/04/2012
75,"419,246.00",08/04/2012
76,"417,098.00",15/04/2012
77,"408,582.00",22/04/2012
78,"401,215.00",29/04/2012
79,"417,493.00",06/05/2012
80,"433,468.00",13/05/2012
81,"427,886.00",20/05/2012
82,"446,483.00",27/05/2012
83,"461,794.00",03/06/2012
84,"440,940.00",10/06/2012
85,"424,523.00",17/06/2012
86,"437,392.00",24/06/2012
87,"451,587.00",01/07/2012
88,"437,175.00",08/07/2012
89,"433,563.00",15/07/2012
90,"431,075.00",22/07/2012
91,"440,375.00",29/07/2012
92,"412,380.00",05/08/2012
93,"412,776.00",12/08/2012
94,"424,420.00",19/08/2012
95,"421,012.00",26/08/2012
96,"409,328.00",02/09/2012
97,"416,144.00",09/09/2012
98,"423,360.00",16/09/2012
99,"416,603.00",23/09/2012
100,"415,433.00",30/09/2012
101,"421,737.00",07/10/2012
102,"418,557.00",14/10/2012
103,"420,037.00",21/10/2012
104,"404,020.00",28/10/2012
105,"391,891.00",04/11/2012
106,"410,820.00",11/11/2012
107,"417,281.00",18/11/2012
108,"414,435.00",25/11/2012
109,"404,784.00",02/12/2012
110,"409,890.00",09/12/2012
111,"414,700.00",16/12/2012
112,"424,281.00",23/12/2012
113,"399,014.00",30/12/2012
114,"412,216.00",06/01/2013
115,"389,236.00",13/01/2013
116,"360,739.00",20/01/2013
117,"388,036.00",27/01/2013
118,"423,114.00",03/02/2013
119,"415,039.00",10/02/2013
120,"409,586.00",17/02/2013
121,"400,726.00",24/02/2013
122,"423,610.00",03/03/2013
123,"430,769.00",10/03/2013
124,"420,997.00",17/03/2013
125,"414,799.00",24/03/2013
126,"416,972.00",31/03/2013
127,"424,499.00",07/04/2013
128,"417,763.00",14/04/2013
129,"433,446.00",21/04/2013
130,"430,561.00",28/04/2013
131,"438,030.00",05/05/2013
132,"443,718.00",12/05/2013
133,"420,859.00",19/05/2013
134,"420,304.00",26/05/2013
135,"411,475.00",02/06/2013
136,"422,308.00",09/06/2013
137,"422,005.00",16/06/2013
138,"437,033.00",23/06/2013
139,"432,126.00",30/06/2013
140,"440,751.00",07/07/2013
141,"457,675.00",14/07/2013
142,"457,046.00",21/07/2013
143,"440,753.00",28/07/2013
144,"420,149.00",04/08/2013
145,"413,461.00",11/08/2013
146,"403,535.00",18/08/2013
147,"417,216.00",25/08/2013
148,"427,343.00",01/09/2013
149,"410,663.00",08/09/2013
150,"395,337.00",15/09/2013
151,"410,869.00",22/09/2013
152,"430,353.00",29/09/2013
153,"423,344.00",06/10/2013
154,"415,362.00",13/10/2013
155,"410,503.00",20/10/2013
156,"418,366.00",27/10/2013
157,"389,081.00",03/11/2013
158,"401,448.00",10/11/2013
159,"406,615.00",17/11/2013
160,"404,822.00",24/11/2013
